time	V(out)	V(out2)	V(n001)
4.560000000000000e-08	-2.904781848188568e-03	-2.910276098946257e-03	1.685892247637329e-02
4.580000000000001e-08	-2.489577289065801e-03	-2.490298356098330e-03	1.520792767777706e-02
4.600000000000001e-08	-1.398691939569549e-03	-1.395731061168927e-03	9.800738755413166e-03
4.620000000000001e-08	9.335370990967283e-05	9.828474604009495e-05	1.894959942430281e-03
4.640000000000001e-08	1.619448053663896e-03	1.624039182974382e-03	-6.511361125918115e-03
4.660000000000001e-08	2.788993533486373e-03	2.791443339714201e-03	-1.339350561480548e-02
4.680000000000001e-08	3.307217236676580e-03	3.306133474276773e-03	-1.698337718180085e-02
4.700000000000001e-08	3.022602470521742e-03	3.017961846657790e-03	-1.639984578287683e-02
4.720000000000001e-08	1.997847096954335e-03	1.990364193851734e-03	-1.171475863351527e-02
4.740000000000001e-08	4.651176704439030e-04	4.568020292776894e-04	-4.105552154208697e-03
4.760000000000001e-08	-1.202985767494051e-03	-1.210038360817459e-03	4.613895806333600e-03
4.780000000000001e-08	-2.605394050147666e-03	-2.608735840485411e-03	1.222302934717032e-02
4.800000000000001e-08	-3.394060314342464e-03	-3.392385930299138e-03	1.687363003035173e-02
4.820000000000001e-08	-3.383089898710603e-03	-3.375723228813097e-03	1.735200912360353e-02
4.840000000000001e-08	-2.567376438117506e-03	-2.555444414153614e-03	1.354953090716761e-02
4.860000000000001e-08	-1.153278880492701e-03	-1.138472703443901e-03	6.332534042993557e-03
4.880000000000001e-08	5.171163623602314e-04	5.319116332002159e-04	-2.488748251632490e-03
4.900000000000001e-08	2.024556935941875e-03	2.037029472582129e-03	-1.078070737865460e-02
4.920000000000001e-08	3.002761838320069e-03	3.010554651932040e-03	-1.644477642176198e-02
4.940000000000001e-08	3.199688459891128e-03	3.202094269669780e-03	-1.808732674877570e-02
4.960000000000001e-08	2.570473870173842e-03	2.567348570196081e-03	-1.522040630958407e-02
4.980000000000001e-08	1.268192217083055e-03	1.261257432907331e-03	-8.580356318251886e-03
5.000000000000001e-08	-3.795434611002865e-04	-3.884509118553534e-04	2.744351128829674e-04
